DocType: WooCommerce Setting,WooCommerce Setting,WooCommerce Einstellungen
DocType: WooCommerce Setting,Last sync request was successful,Letzte Synchronisation war erfolgreich
DocType: WooCommerce Setting,Enable WooCommerce,WooCommerce aktivieren
DocType: WooCommerce Setting,Sync WooCommerce,WooCommerce abgleichen
DocType: WooCommerce Setting,Sync WooCommerce Ids to ERP,WooCommerce-IDs ins ERP laden
DocType: WooCommerce Setting,WooCommerce Log,WooCommerce Protokoll
DocType: WooCommerce Setting,Reset Last Sync Date,Letztes Synchronisationsdatum zurücksetzen
DocType: WooCommerce Setting,Uncheck to run with self signed certificate,Abwählen um mit eigenen Zertifikaten zu arbeiten
DocType: WooCommerce Setting,Hourly synchronization,Stündliche Synchronisation
DocType: WooCommerce Setting,Shop URL,WooCommerce URL
DocType: WooCommerce Setting,"Sync Item Price, from seleted Price List with WooCommerce",Preise mit dieser Preislisten synchronisieren
DocType: WooCommerce Setting,If not exists create item to WooCommerce,In WooCommerce erstellen falls Artikel nicht existiert
DocType: WooCommerce Setting,"If WooCommerce not contains a customer in Order, then while syncing Orders, the system will consider default customer for order",Falls der Kunde nicht in der Bestellung enthalten ist diesen Kunden verwenden
DocType: WooCommerce Setting,Customer Group will set to selected group while syncing customers from WooCommerce,Standard-Kundengruppe für den Kundenabgleich
DocType: WooCommerce Setting,Cash Account will used for Sales Invoice creation,Bargeld-Konto für Ausgangsrechnungserstellung
DocType: WooCommerce Setting,"Sync Item Quantity, from seleted Warehouse with WooCommerce",Für die Synchronisation der Lagermenge
DocType: WooCommerce Setting,"To sync Item Quantity, from more than one Warehouse with WooCommerce, use the following table (optionaly)",Zusätzliche Lagerorte für die Synchronisation (optional)
DocType: WooCommerce Setting,WooCommerce Weight unit,Gewichtseinheit in WooCommerce
DocType: WooCommerce Setting,WooCommerce Dimensions unit,Dimensionseinheit in WooCommerce
DocType: WooCommerce Setting,Map WooCommerce Tax / Shipping to ERPNext Account,Zuordnung WooCommerce Steuern und Lieferbedingungen
DocType: WooCommerce Setting,Tax Rules,Steuerregeln
DocType: WooCommerce Setting,Sales Order Series,Ausgangsrechnungsnummernkreis
DocType: WooCommerce Setting,Import Delivery Notes from WooCommerce on Shipment,Lieferscheine von WooCommerce importieren
DocType: WooCommerce Setting,Import Sales Invoice from WooCommerce if Payment is marked,Ausgangsrechnungen von WooCommerce importieren
